City,Id No.,L/R,Gender,Age,Foot length,Ball Girth circumference,Foot breadth,Instep circumference,Heel breadth,Instep length,Fibulare Instep length,Height of Top of Ball Girth,Height of Instep,Long Heel Girth,Instep Width,,1D Component Fit,,2D Component Fit,,3D Component Fit,,,
,,,,,,,,,,,,,,,,,Mean Distance,St Dev,Mean Distance,St Dev,Mean Distance,St Dev,DATASET,
,,,,,,,,,,,,,,,,,,,,,,,86,/100
California,039_R,R,Female,22,235.2,232.3,96.2,234.4,60.5,172.4,144.7,39.4,59.8,317.7,87.1,,4.953148,3.98447,2.151346,1.744957,0.090026,0.172984,,
Massachuset,040_L,L,Female,23,242.7,234.9,95.6,241.4,62.5,174.8,150.2,43.1,70,335.8,82.3,,5.760537,4.752738,1.961533,1.918836,0.135305,0.286092,,
Massachuset,040_R,R,Female,23,240.4,237.5,96.9,241.1,63.3,170.9,149.1,43.6,68.1,334.2,84,,6.115377,4.290991,1.66466,1.537174,0.072741,0.133156,,
Kansas,041_L,L,Female,32,241.2,218.8,92.8,220.9,61.9,182.2,157.3,33.4,56.9,319.8,81.9,,,,,,,,ERROR,
Kansas,041_R,R,Female,32,243.1,222,93.6,222.3,63.7,182,158.2,34.8,57.6,323.6,82.5,,5.842463,3.590143,1.958009,1.644549,0.135123,0.241245,,
California,042_L,L,Female,28,248.1,234.4,96.8,236.6,62.2,185.5,155.7,40.6,63,331.4,85.6,,6.899244,5.100122,1.619533,1.419729,0.3808,0.426929,,
California,042_R,R,Female,28,245.9,229.1,93.9,242.2,61.6,183.8,161.2,40,65.7,332.9,86.9,,6.575975,4.362914,1.500303,1.342881,0.115536,0.214788,,
New York,043_L,L,Female,28,249.6,238.3,98.4,251.4,67.6,188,163.7,40,66.9,343.5,89.8,,5.361706,3.954789,2.730311,2.256487,0.075486,0.14107,,
New York,043_R,R,Female,28,246.3,228,93.6,244.3,65.8,185.8,166,39.8,68.6,339,86,,4.453063,3.398462,1.539228,1.470734,0.071778,0.122451,,
California,044_L,L,Female,23,246,261.7,109.8,267.3,70.8,181.9,150.4,43.6,69.6,350,98.7,,,,,,,,ERROR,
California,044_R,R,Female,23,246.5,266.4,111.8,270.6,68.7,177.6,152.2,44.4,70.1,348.9,100.4,,5.529144,3.419564,1.909423,1.580864,0.108913,0.258273,,
Massachuset,045_L,L,Female,30,243.8,223.3,92.1,225,59.1,178,156.7,39.7,64.6,326.4,78.6,,3.90152,3.365683,1.829889,1.766364,0.077049,0.149265,,
Massachuset,045_R,R,Female,30,247.6,222.2,90.6,224.7,61.7,180.4,159.1,39,62.3,330.1,81.3,,5.351851,3.469859,2.563617,1.779432,0.169892,0.321259,,
New Hampshire,046_L,L,Female,21,245.6,252.7,103.2,256.9,65.8,177.9,154,46.3,63.7,336.8,95.7,,4.210615,2.568579,2.435669,1.949255,0.083935,0.14631,,
New Hampshire,046_R,R,Female,21,247.9,254.9,104.2,260.5,65.8,179.1,154.9,46.1,65.8,338.6,95.3,,4.616499,2.690876,2.262459,1.685162,0.073222,0.139397,,
New York,047_L,L,Female,24,250.1,232.3,95.4,238,64.3,188.6,165.8,39.2,61.2,331.5,87.4,,4.803249,3.555264,3.28313,2.145333,0.060992,0.117263,,
New York,047_R,R,Female,24,248.8,233.4,95.3,238.2,64.9,183.9,162.5,41.3,62.9,329.9,87,,4.328991,2.15206,3.456333,2.269828,0.078435,0.133776,,
California,048_L,L,Female,33,250.4,237.5,97.8,226.2,56.4,177.8,151.1,42.1,63.9,330.4,81,,5.375741,3.624099,2.139796,2.178075,0.075769,0.151812,,
California,048_R,R,Female,33,249.7,239.4,97.8,229.7,56.5,177.4,152.9,43.8,65.6,329.9,81,,5.503235,3.801355,1.896706,2.058378,0.166027,0.257074,,
California,049_L,L,Female,21,247.7,231.6,94.4,231.4,64.9,179.9,159.1,41.5,68.1,337.5,78.8,,6.140179,4.369124,2.270143,1.923872,0.083349,0.145792,,
California,049_R,R,Female,21,251.2,235.7,96.9,231.9,63.3,183.5,158,42,67.6,335.6,79.5,,6.676682,5.000946,2.909087,2.289501,0.062366,0.088261,,
New York,050_L,L,Female,25,252,235.8,98.3,243,61.7,183.6,169.6,39.3,67.6,338,85.9,,4.09634,2.793144,2.252887,1.81948,0.052369,0.066737,,
New York,050_R,R,Female,25,254,238.8,99.6,243.4,61,184.6,168.9,39.3,64.5,330.2,88.5,,4.868674,2.947568,2.197033,1.646325,0.059378,0.083158,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,MIN,,18,210.1,,,,,,,,,,,Mean,5.465,3.786,2.067,1.668,0.088,0.150,,
,,MAX,,34,259.6,,,,,,,,,,,St Dev,0.928,,0.637,,0.069,,,
,,,,25.78,237.356,,,,,,,,,,,,,,,,,,,
,,,,4.887791429,10.80333207,,,,,,,,,,,,,,,,,,,
